N,Тип,Источник,Содержание сообщения,Оригинал сообщения,Дата,
435,Комментарий к посту/репосту,Группа,"Это чмо хотела быть президентом,но кто  за это проголосовали бы?",0,13.12.2021 12:58:25,
436,Комментарий к посту/репосту,Группа,"Все больше убеждаюсь,что наших власть имущих уродов надо уже в психушке проверять на вменяемость.Походу одни дебилы правят.",2,13.12.2021 12:56:24,
437,Комментарий к посту/репосту,Группа,"Как всегда,местные полицаи не приняли заявление.А с них будет спрос? Или дальше будут типа работать?",2,13.12.2021 12:53:41,
438,Комментарий к посту/репосту,Группа,"Три дня стучать,а соседям пофиг.У них что,наушники в ушах?Даже когда в душе поются.",0,13.12.2021 12:50:45,
439,Комментарий к посту/репосту,Группа,"А почему пассажиры эту кондукторшу во след не выкинули из автобуса? Будь это мой ребёнок,нашла бы эту сучку и морду ей по правила бы.Тварина а не баба.",0,13.12.2021 12:48:06,
440,Комментарий к посту/репосту,Группа,"Вот напугали бабку х...м.Есть домашние заготовки,а ваша икра пусть стухнет на прилавках.",0,13.12.2021 12:44:10,
441,Комментарий к посту/репосту,Группа,"Какое счастье с одной стороны-вышла на пенсию и пофиг эти кур коды,с другой хреново-песия грошовая.Смысл был пахать.Бичи никогда не работающие получают больше,нонсес.",0,13.12.2021 12:39:15,
442,Комментарий к посту/репосту,Группа,"Кормит тем ,чем мы не можем кормить своих детей и внуков.",0,13.12.2021 12:33:28,
443,Комментарий к посту/репосту,Группа,"Походу беременности и роды у неё менее болезнные,вот и рожает.Как у меня с бешеным токсикозом,почти до родов,дважды,все желание пропало ещё детей иметь.",0,13.12.2021 12:28:41,
444,Комментарий к посту/репосту,Группа,"Покупайте на губернском,две точки,50 р. за литр.Берём раз в неделю12 литров,хватает на неделю,не киснет.А в магазине мы даже на эти полки и не смотрим.",0,13.12.2021 12:24:47,
445,Комментарий к посту/репосту,Группа,"А депутатики себе отменил куркоды и зарплату себе повысили на 20 процентов,а мы будем хавать эту бредятину и дальше.",2,13.12.2021 12:19:05,
446,Комментарий к посту/репосту,Группа,А почему их морды не показывают? Пусть все их увидят и обходят стороной.,0,13.12.2021 12:14:36,
447,Комментарий к посту/репосту,Пользователь,"Вика вяжу крючком,спицами,но увы ,стою на рынке,а люди тащат только пакеты с мясом,красота никому не интересна,только желудок нужно набить.Есть интерес,кормим синичек и блин уже седьмой кот прибился,хорошо что в стайке держим курей и кроликов,уже теперь четверо хвостиков живут там,трое дома.",0,13.12.2021 12:12:27,
448,Комментарий к посту/репосту,Группа,Никогда в своей жизни не ходила в эти забегаловки и не собираюсь.,0,13.12.2021 12:04:43,
449,Комментарий к посту/репосту,Группа,"Меня одно порожает,что родственникам все пофиг.Сначала они не хотят заморачиватся с собаками,а как бабушку перевезут,дом продадут,денежки проматают,там и бабушка поедет в лучшем случае в дом престарелых,в худшем заморят голодом или выставят на улицу.",0,13.12.2021 11:43:29,
450,Комментарий к посту/репосту,Группа,"Со своих детей и внуков начните,а мы посмотрим.Или ваши наебыши за границей давным давно.",0,13.12.2021 11:38:20,
451,Комментарий к посту/репосту,Группа,"А полицаям все пофиг,они народ и так за людей не считают,а с новым выходом закона,что они могут ломится к любому без суда и следствия,нужно напротив дверей вилы ставить.Все мы людишки -бесправные твари.",2,13.12.2021 11:36:12,
452,Комментарий к посту/репосту,Группа,"Лучше промолчу насчёт нынешней красоты типа мужиков,а то закидают тапками такие же мамочки. Какое счастье,что пока я жива и мой муж рядом со мной,уже 41 год подол.Что и вам всем желаю ,жить долго и счастливо ,не глядя на эту красоту.Красота должна быть в душе.",0,13.12.2021 11:29:09,
453,Комментарий к посту/репосту,Пользователь,"Вика,вы молодец! А я на все плюнула,пыталась пробовать,в основном цветы и деревца-подходях охают ,кудахтают и на этом все.Отбили все настроение занимается бисером.",0,13.12.2021 11:22:06,
454,Комментарий к посту/репосту,Группа,Прелесть обалденная!!!!,0,13.12.2021 11:19:16,
455,Комментарий к посту/репосту,Группа,"Пока рассмотрите,куча народа погибнет,но для вас власть имущих это ерунда.",0,13.12.2021 11:15:55,
456,Комментарий к посту/репосту,Группа,"И что? Пальчиком погрозят и все,как у нас в Кузбассе с погибшими шахтерами,владелец головку опустил и тишина.",0,11.12.2021 00:43:08,
457,Комментарий к посту/репосту,Группа,Давно пора.,0,11.12.2021 00:39:42,
458,Комментарий к посту/репосту,Группа,"Зачем на окне,свой дом,кормушка под навесом почти закрытым,туда и прилетают.В прошлом году два мешка семечек съели,нынче посмотрим,морозов сильных пока не было.",0,11.12.2021 00:38:28,
459,Комментарий к посту/репосту,Группа,"Ну конечно это не пойми что поднимают куда-то,а простой работяга всеми забыт.Хотя от него зависит хорошая жизнь этого щенка.Не будет трудового народа,вся эта шушера сдохнет.Кто этих кормить будет?",0,11.12.2021 00:27:05,
460,Комментарий к посту/репосту,Группа,"Пиздец нам ребята,будем часами ждать эти автобусы ,как и раньше.Спасибо цевилью,охуенный губер ,нет слов одни слюни.Посадили господи не пойми что на наши шеи.",2,11.12.2021 00:22:32,
461,Комментарий к посту/репосту,Группа,"Да кому они нужны? Навязала,решила продать,никто даже не смотрит.Ни салфетки,ни шали.Плюнула на всегда деревья и цветы из бисера ни кого не интирисуют,все закупают только мясо,тащат тележками.",0,11.12.2021 00:13:37,
462,Комментарий к посту/репосту,Группа,"Очередной чурбан,кто бы сомневался.",0,11.12.2021 00:08:24,
463,Комментарий к посту/репосту,Группа,Да пошли вы куда подальше,0,10.12.2021 23:55:48,
464,Комментарий к посту/репосту,Группа,"Читаю одну хрень,а по телику пропагандируют другую хрень и кому верить?",0,10.12.2021 23:51:43,
465,Комментарий к посту/репосту,Группа,"Ёлки зелёные,только от писалась за серого одноглазика,пришлось поить тёплым молоком белого заморыша.Взрослый кот,грязный,но самое главное сытый,хотя сухой корм стоит сутками там куда они приходят.А сена на сеновале много,думаю ума у животинки хватит в него зарытся,а там и приучим к себе.Будет седьмой по счёту.",0,10.12.2021 23:47:04,
466,Комментарий к посту/репосту,Группа,"Какая нафиг дурка ? Поставьте хоть одного такого ушлепка к стенке и на всю страну расскажите,что приговор приведен в исполнение.Глядишь другие подражатели таких ,,героев,,включат свои тупые мозги и поймут,что и с ними также будет.Своя-то шкура всегда ближе к телу.",0,09.12.2021 22:23:07,
467,Комментарий к посту/репосту,Группа,"Точно такой кот ,только одноглазый пробился к нам.Жил на сеновале,начали подкармливать.Сейчас мордаха начала попровлятся и ура стал доверять,могу взять на руки и занести в стайку,там у нас ещё живут кошка  с котом,там тепло,но утром когда иду кормить кроликов и кур,то они все уходят на улицу по своим делам.И в доме ещё две кошки и кот сфинкс-все подбирашки.Так и живём.",0,09.12.2021 10:29:18,
468,Комментарий к посту/репосту,Группа,"В шапочке прикольно смотрится,обожаю лысиков.Наш бандюган где-то зашкерился в одеяле-дрыхнит.",0,08.12.2021 10:43:58,
469,Комментарий к посту/репосту,Группа,"Как только свои задницы посадят в депутатские кресла,все мозг у этих уродов отключается,а включается хлебало и загребало.",2,07.12.2021 12:57:16,
470,Комментарий к посту/репосту,Группа,Ой блин менты не смогли определить? Когда им очень нужно быстро находят.,0,07.12.2021 12:44:02,
471,Комментарий к посту/репосту,Группа,Что б этому уроду в старости кружку с водой никто не подал.,0,07.12.2021 12:39:49,
472,Комментарий к посту/репосту,Группа,"У меня тупой вопрос-почему Роспотребнадзор,где Минздрав?",0,07.12.2021 12:00:52,
473,Комментарий к посту/репосту,Группа,"Ой блин ,дума обеспокоилась.Да думе похрен на всех нас.Им бабульки нехилые капают,нафиг утруждатся.Вот когда им в нужнике или в буфере некому будет прислуживать,вот тогда они зашевелятся.",0,07.12.2021 11:55:11,
474,Комментарий к посту/репосту,Группа,"А вот интересно,почему кыски с удовольствием едят свежую ,речную рыбу? Походу им вышли законы не писаны,лопают ,что им нравится.",0,07.12.2021 11:49:32,
475,Комментарий к посту/репосту,Группа,"А этой мадам есть нормальное имя? Мася,у меня так одну из пяти мяуколок зовут.",0,07.12.2021 11:45:48,
476,Комментарий к посту/репосту,Группа,"А где вы здесь видите медиков? Это фашистки,которым сначала ручонки отрубить ,а потом головенки.",1,07.12.2021 11:24:32,
477,Комментарий к посту/репосту,Группа,"Геннадий,надо было вашей жене этого неадеквата на пинках из магазина выпереть и пусть бы на чистом воздухе орал.Людской дебелизм поражает.",0,07.12.2021 11:18:45,
478,Комментарий к посту/репосту,Группа,"Таких стерелизовать и кастрировать надо,что бы не размножались.",0,07.12.2021 11:13:25,
479,Комментарий к посту/репосту,Группа,"Все туда,там нет ковида и кур код не нужен.Бабок побольше захватить.",0,07.12.2021 11:11:41,
480,Комментарий к посту/репосту,Группа,"Нормально так,эти уроды ,у кого есть деньги ,таскаются по шарику и зная,что появилась новая хрень ,не хотят на карантин.А почему мы нищие должны вот из-за таких уродов страдать? Не хочешь карантин,чеши туда,откуда прилетел.Если не сдохнешь там,то тебя запустят.Порожает тупизна вот таких людей.",0,07.12.2021 11:07:28,
481,Комментарий к посту/репосту,Группа,"Да пешком уже наверно раз пять бы дошла? И ещё тупой вопрос,какого черта ты с дитем в такую погоду куда-то поперлась?",0,07.12.2021 10:54:18,
482,Комментарий к посту/репосту,Группа,Скорей всего бесплатно.А своим ребятишкам смс собираемых.,0,07.12.2021 10:51:19,
483,Комментарий к посту/репосту,Группа,"Фигню не пишите,машинку не откроешь до того времени,пока она не закончит свой цикл.",0,07.12.2021 10:39:58,
484,Комментарий к посту/репосту,Группа,"А заражение крови от чего?В молодости болела пневмонией,температура два раза была около 42 градусов,но никакого заражения крови не было.Здесь ,что-то не так.Трясити медиков.",0,07.12.2021 10:38:13,
485,Комментарий к посту/репосту,Группа,"Пока наша власть не по вернётся к нам мордой,а не жопой ,мы лучше жить не будем.",0,07.12.2021 10:34:41,
486,Комментарий к посту/репосту,Группа,"Какое счастье,что когда в первую волну этой заразы заболела,меня скороя нахрен послола т. к. не было температуры.Выкорабкалась сама,благодаря своим травам.Теперь в больницу не ногой,лучше дома вдохнуть,чем тебя насмерть залечат.",1,07.12.2021 10:23:24,
487,Комментарий к посту/репосту,Группа,"Хорошенькие,но не хотела бы их содержать у себя.Это не дети-это хуже.",0,07.12.2021 10:15:18,
488,Комментарий к посту/репосту,Группа,А мамашку лечить не надо?Вырастила монстра.,0,07.12.2021 10:12:29,
489,Комментарий к посту/репосту,Группа,"Причинение вреда средней тяжести? Вы что там совсем головками поехали?Здоровая тварь с членом  гробит беззащитного ребёнка,который даже в морду плюнуть не может-это у вас средняя тяжесть.",0,07.12.2021 09:41:41,
490,Комментарий к посту/репосту,Группа,"Если честно,то уже достали.Везде Алла,Алла.Счастье должно быть тихим им не кичатся,а у этих один пиар.",0,07.12.2021 09:36:11,
491,Комментарий к посту/репосту,Группа,"Наших депутатиков с нашими пенсиями в 
эти магазинчики.И пусть суки по питаются .Одна же тварь вякнула,что макарошки дешовые,пусть ими и удавится,сучка конченая.",2,06.12.2021 20:48:28,
492,Комментарий к посту/репосту,Группа,"Ужас какой,страшно детей в школу отпускать,когда такие оморозки могут обхаркать ,обозвать и т. д и т.п. Блин ,в наше время чистили мурло по полной и пацаны и девчеки.Сразу этих ушлепков ставили на место,без учителей и тем более родителей",0,06.12.2021 19:46:41,
493,Комментарий к посту/репосту,Группа,"Да вы что? Окончание пандемии? А три дня назад визжали по телику,,что это детский вирус,уничтожает мозг и печень детей.Пиздоболы определитесь уже.То эбола,то грипп свининой и хрен знает что,что вы выпускаете на людей.А потом сволочи смотрите,сдохнем мы или нет.Но вы тоже ублюдки не вечные.",0,06.12.2021 19:35:14,
494,Комментарий к посту/репосту,Группа,"Ой блин,какой миленький!!!",0,06.12.2021 19:18:24,
495,Комментарий к посту/репосту,Группа,"Вот полный идиот.А что нельзя было дома со своими родными и близкими все это отметить? Павлин ,он и в Африке павлин .Лишает детей детства.Лишь бы самому пропиарится.Не хочу не слышать и видеть этого идиота.Детей жалко,что из них вырастить не известно.",0,06.12.2021 19:15:15,
496,Комментарий к посту/репосту,Группа,"Але гараж,пока вы ушлепки бабло попилите ,диких животных уже не останется,вы утырки властьимущие всех их уничтожить.",0,06.12.2021 19:07:22,
497,Комментарий к посту/репосту,Группа,Сказки венского леса.Откуда вообще эта инфа?,0,06.12.2021 19:02:20,
498,Комментарий к посту/репосту,Группа,"Господи,как звдолбал этот интернет.Хочется написать быстро ,но фиг вам ,эта сволочь которая нас контролирует ,выдаёт своё.Пока эти слова писала,пришлось много раз переписывать,потому что электронный  мозг выдаёт своё.Скоро будемтви",0,05.12.2021 19:18:44,
499,Комментарий к посту/репосту,Группа,"Я своего сфинса не мучаю,хоть не породный,но со своими достоинствами,хоть и не хотела это лысое чудо.Пусть буду замывать его псикалки,отметки,чем потомтпосле кастрации,покупать  корм для кастрированных котов.Атэто очень дорогое удовольствие .",0,05.12.2021 17:41:14,
500,Комментарий к посту/репосту,Группа,Ещё и много больных туберкулезом.,0,02.12.2021 08:14:32,
501,Комментарий к посту/репосту,Группа,"В детстве у нас хлеб стоил 18 коп. и 13 коп.Так по 13 был вкуснее и точно,можно было по полбулки слопать ,пока до дома идёшь.",0,01.12.2021 09:46:04,
502,Комментарий к посту/репосту,Группа,Вв,0,01.12.2021 09:43:16,
503,Комментарий к посту/репосту,Группа,"Если не хотите,что бы люди совали в ваши дела свои носы,нефиг выставлять эту жизнь на показ.Лично мне плевать ,что у них там происходит,свои дела важней.",0,01.12.2021 09:26:44,
504,Комментарий к посту/репосту,Группа,"Ну все,сразу больной стал .Его мужиком даже назвать нельзя.Сыкло конченное.За свои деяния отвечать надо.",0,01.12.2021 08:32:04,
505,Комментарий к посту/репосту,Группа,"Сколько можно постить эту неадекватку? Хочется у неё спросить,ты сама,что куришь раз такое предлагаешь? Кошмар,вроде мать?",0,30.11.2021 21:45:01,
506,Комментарий к посту/репосту,Группа,"А я смотрю и читаю,у нас тут Любовь Казачье,засланный казачье,всем ответит все опровергнут.Мадам сколько вам заплатили?",0,30.11.2021 21:39:38,
507,Комментарий к посту/репосту,Группа,"Нормально так,она призвала.Выявился новый штам-закрывайте границы,не сдохнут люди,посидят дома.А то из-за этих выезжантов страдают другие.А потом нас всех насильно прививать,только за то ,что отдельные уроды захотели на море-океане отдохнуть.",0,30.11.2021 21:35:59,
508,Комментарий к посту/репосту,Группа,"И увольняйтесь ребята,а на ваше место нужно притащить Голикову и как эту из Роспотребнадзор а.Хотя какое право имеет эта марамойка распоряжаться нашими жизнями?",0,30.11.2021 21:30:28,
509,Комментарий к посту/репосту,Группа,"Надо как у мусульман-палками по пяткам и ещё по нашему,на козлы и розгами.Может тогда научится тогда уважать других.А если нет ,то к стенке,такие ушлепки не должны жить и гнобить других.",0,30.11.2021 21:18:42,
510,Комментарий к посту/репосту,Группа,"Хорошо конечно вы все отзываетесь,но этому фото минимум три года.Пацан -то уже вырос.",0,30.11.2021 20:52:16,
511,Комментарий к посту/репосту,Группа,"Я там не была,и дай бог туда не попаду,хоть вольно хоть невольно.Но мне одно не понятно,когда по телику показывают эти красные зоны,почему  больные люди лежат на спине, не на животе?",0,30.11.2021 20:44:16,
512,Комментарий к посту/репосту,Группа,"А нам то что с этого?Да пусть они там все себя перекроят,лишь бы у нас наша молодежь не стала дурковать по полной.",0,30.11.2021 20:13:16,
513,Комментарий к посту/репосту,Группа,"У нас своих уродов не нормальных хватает,а тут Польша.Мы для них враги,вот и пошли они со своими проблемами куда подальше.",0,30.11.2021 20:07:28,
514,Комментарий к посту/репосту,Группа,"А если у меня телефон без камеры и пенсия 8 ,900 ?На какие вши мне новый купить?",0,30.11.2021 19:54:01,
515,Комментарий к посту/репосту,Группа,"Он ещё ходит на своих дыбалках,никто не переломах ему их.Рожает же таких не моими что мать природа.",0,30.11.2021 19:51:22,
516,Комментарий к посту/репосту,Группа,Во даёт мадам! Дай бог здоровья! Требуши пенсионный фонд за всех кто до пенсии не дожил.,0,30.11.2021 19:37:52,
517,Комментарий к посту/репосту,Группа,"Все Казань и Казань.Складывается такое представление,что там живут убицы и неадекваты,которым уже никакая психушка не поможет.",0,30.11.2021 19:33:01,
518,Комментарий к посту/репосту,Группа,А у нас чем лучше?,0,30.11.2021 19:30:50,
519,Комментарий к посту/репосту,Группа,"Что б этого губера паралич разбил,тварь бездушную.",2,30.11.2021 19:28:50,
520,Комментарий к посту/репосту,Группа,"Да нисколько.Сегодня мои паразиты хвостатые со стола из конфетницы повикидали конфеты.Пришла из стайки,кормила курей и кролов и офанорела,конфеты по всей кухне и в обёртке и уже без.Получили полотенцем,вечер проходит пока тихо,но ещё ночь впереди,а там тыгыдыг.",0,30.11.2021 19:25:47,
521,Комментарий к посту/репосту,Группа,"Такая же ситуация,всю жизнь подбирает.На данный момент два кота и три кошки.Ещё один одноглазый приблудился два года назад,жил на сеновале,кормили конечно и вот вэтот год в ноябре наконец-то подпустил к себе,дался в руки,теперь ночует в стайке с кроликами и курями,там тепло,но каждое утро уходит по своим делам.Ещё два собакена,тоже найденыши.",0,29.11.2021 19:48:39,
522,Комментарий к посту/репосту,Группа,"Зашибись,теперь благодаря этой мадам вы привитые не люди,вы товар с кодом,с чем вас и поздравляю.",0,29.11.2021 19:24:39,
523,Комментарий к посту/репосту,Группа,Не надо изголятся над русским нарядом одевая его на это чмо.,0,29.11.2021 19:09:13,
524,Комментарий к посту/репосту,Группа,"Одним выжившим больше,одним меньше,лишь бы чинуши спокойно свои задницы просиживали.Врачей и так не хватает,а тут такое.Охренела наша власть совсем.",2,29.11.2021 19:01:55,
525,Комментарий к посту/репосту,Группа,"Грех так говорить,но пусть эта вся конченная  семейка вымрет,таким не надо размножаются.",0,29.11.2021 14:49:29,
526,Комментарий к посту/репосту,Группа,"Вот пусть Голикова и спасает людей,если конечно у неё хватит образования и ещё эта мадамка из потребнадзора,чёрт,забыла её фэмили.А то по телику визжать они умеют,пусть на деле себя покажут.",0,29.11.2021 14:44:31,
527,Комментарий к посту/репосту,Группа,"А кто это такая?Не кажется вам господа,что очень много развелись этого мусора,про который мы даже и не знаем.",0,29.11.2021 14:29:55,
528,Комментарий к посту/репосту,Группа,"Как у нас в 1 классе было,мы вставали и так же делали,но при этом наша учительница говорила,,мы писали,мы писали,наши пальчики устали,а теперь мы отдохнем и опять писать начнём,,. Вот наши захребетники нам и написали законов,хрен разгребемся и без штанов останется.",0,29.11.2021 14:25:45,
529,Комментарий к посту/репосту,Группа,"Блин не косить,а кормить.Надоело каждое слово перепроверять,комп выкидывает свои версии,достал уже",0,29.11.2021 14:20:03,
530,Комментарий к посту/репосту,Группа,"Глядя на него,так он женоподобный,или как их там называли раньше заднеприводной ,а если нормальной ориентации,то надо косить хорошо,а то на женщине того и глядишь удохнет.",0,29.11.2021 14:18:32,
531,Комментарий к посту/репосту,Группа,"С утра надо всем-в туалет,мочевой терпит только до утра,а потом галопом до унитаза.",0,29.11.2021 14:10:14,
532,Комментарий к посту/репосту,Группа,"Ой,заберите моё чудо,надоело рассаживать и распихивать по знакомым и не знакомым.",0,29.11.2021 13:55:25,
533,Комментарий к посту/репосту,Группа,"В первую очередь тещенька,доченька не поддавася,стой на своём,требуй что тебе надо ,свекруха и свекр тебе должны.Довыебывалась,дочь развала,ребёнок остался без отца,алименты плотит,и сама сука сдохла,а семью разбила.",0,29.11.2021 13:44:53,
534,Комментарий к посту/репосту,Группа,"Не верю,наш сфинкс орет целыми днями.Если честно уже устала.Как пошол ему четвёртый год ,мы перестали спать.Хотя дома есть не кастрированные кошки,он тоже с яйками.Но орет постоянно.А сами знаете,поедь в ветклиннику,такое бабло сдерут,снашей пенсией не размахнешся.И спит он очень мало.",0,29.11.2021 13:38:24,
535,Комментарий к посту/репосту,Группа,"Мадам ,если вы озабоченные,сходите в бар,может найдёте себе развлечение.Зачем издиватся над животным.Нарисуй себе на лбу седечко,может кто-то клюнет.",0,29.11.2021 13:31:25,
536,Комментарий к посту/репосту,Группа,"А ты сементух кукарекай дальше и надейся,что выживешь.",0,29.11.2021 13:27:53,
537,Комментарий к посту/репосту,Группа,"Евгений Сементух,кто дал тебе право обсирать людей которые не хотят прививатся? Может ты милок сдохнешь вперёд нас необколотых.Лично я переболела дома в самую первую волну,врачам было на меня насрать,нет температуры,сиди дома и сдыхай.Не сдохла,выжила.От гриппа никогда в жизни не прививалась и жива ,здорова,спасибо травма.И дождусь когда эти кур коды будуть давать тем ,у кого много антител",0,29.11.2021 13:25:17,
538,Комментарий к посту/репосту,Группа,"Все заснимите и нашим чинушам отправьте,той же голиковой,в Роспотребнадзор,пусть по смотрят.А то у них все зашибись.А ещё бы лучше этих дамочек протащить по всем нашем больницам,пусть по смотрят,что там творится.",0,29.11.2021 13:17:17,
539,Комментарий к посту/репосту,Группа,"Оксана ,пробовала гонять утром от себя,но эта лысое чудовище подползает к тебе на брюхе и рука не подымается его наказать.А кот хороший,ласковый,сроду не подумала,что могу полюбить сфинкса,но он подкидыш,как и все другие.У нас всю жизнь живут одни подбирашки.Ой нет вру,у соседки брали чёрного котёнка,прожил с нами 11 лет,потом ушол ,искали не нашли,значит ушол на радугу.",0,29.11.2021 13:12:29,
540,Комментарий к посту/репосту,Группа,"Светлана,как вы правы.Нашим плевать,что у них есть и вода и сухой корм,а вот мягкий вынь и положь тогда,когда нам захочется.А им хочется в пятом часу утра.Особенно борзеет Оскар -сфикс,знает,что он любимец и пока не встану и не покормлю,будет по мне топтатся.",0,29.11.2021 11:18:20,
541,Комментарий к посту/репосту,Группа,"Извините,пусть покушают .",0,29.11.2021 10:49:51,
542,Комментарий к посту/репосту,Группа,"Зачем под суд.Выпустили всех этих бедных собак в вольер и этого урода к ним,пусть собачки повышают.",0,29.11.2021 10:47:53,
543,Комментарий к посту/репосту,Группа,А язычок какой!,0,29.11.2021 10:45:16,
544,Комментарий к посту/репосту,Группа,"Славик,мы бабы хоть и после климакса,можем хоть куда,а вот на тебя милок хотелось бы посмотреть  когда тебе исполнится лет так60 . Будет одно из двух,или у тебя будет на пол шестого,или виагру будешь горстями кушать.",0,29.11.2021 09:28:51,
545,Комментарий к посту/репосту,Группа,"Пусть теперь за свои слова ответит.А её конченную передачу не смотрю,противно.",0,29.11.2021 09:24:02,
546,Комментарий к посту/репосту,Группа,"Представляю,что с ним будет,когда она к нему поднимется.",0,29.11.2021 09:13:33,
547,Комментарий к посту/репосту,Группа,"Как достала эта гомосятина.Мы нормальные не бегаем и не Орем,что живёт женщина с мужчиной,а этих не нормальных везде суют.",4,28.11.2021 20:43:43,
548,Комментарий к посту/репосту,Группа,"Сравнили инсульт с ковидом,как хрен с пальцем.Господи умер певец,пел хорошие песни,а тут опять пропаганда этого ковида,как уже задолбали.Если человек умер-однозначно ковид,больше других болезней нет.Светлая память и земля пухом ему.",0,28.11.2021 20:09:22,
549,Комментарий к посту/репосту,Группа,Пусть на месте этого бедного барсука окажутся его родные для какого нибудь извращенца.,0,28.11.2021 15:12:49,
550,Комментарий к посту/репосту,Группа,"Ну как так можно?Уже бабка дважды,но помню как только сына родила и он крикнул ,все,в душе что-то перевернулась.Убила бы ,если моему ребёнку грозила бы опасность.А эти так легко бросают своих кровинок.Это наверно не женщины,не матери,а чудовища без души и сердца.",0,28.11.2021 15:09:28,
551,Комментарий к посту/репосту,Группа,"Марамойка роспотребнадзора  чеши в магазины просрочку проверять или незаконные свалки.Полезла к нашему имунитету,рученки обламаем.Всех она привьет,ага сейчас,все напугались и побежали прививатся.Пока не введут этот долбаныйткур код на антитела я в больницу ни ногой.Хотя и так я уже давно там не была,толку от них нет.",0,28.11.2021 15:01:06,
552,Комментарий к посту/репосту,Группа,"Елена точно,в другие регионы распихали,ради пиара.",0,28.11.2021 14:53:33,
553,Комментарий к посту/репосту,Группа,"Гребаный хозяин.Ради своего пиара сволочь издевается над братьями нашими меньшими.Чтоб тебя посадили голой задницей во что нибудь такое,где бы тебе хреново было.",0,28.11.2021 14:52:03,
554,Комментарий к посту/репосту,Группа,"Нет страшнее зверя чем человек.Дай бог этим тварям на своей шкуре испытать потерю близких.Что б потом сволочи жили с болью в душе.Хотя я не уверина,есть ли душа у этих уродов,убить детенышей-это надо быть недочеловеком.",0,28.11.2021 14:47:29,
555,Комментарий к посту/репосту,Группа,Молодцы! Здоровья вам на долгие года!,0,28.11.2021 11:35:18,
556,Комментарий к посту/репосту,Группа,"Кысочка -красотулька! А наши сами себя развлекают,когда начинают впятером носится,сиди в кресле и не отсвечивай,а то снесут.",0,28.11.2021 11:16:05,
557,Комментарий к посту/репосту,Группа,"А что так мелко? Вакцинировать беременных.Вы сразу напрямую,через живот,в не рожденный плод.",0,28.11.2021 11:12:14,
558,Комментарий к посту/репосту,Группа,"Когда училась в школе,у нас был учитель по труду Николай Иваныч.Старшеклассников из туалета за курение на пинках выгоняли и никто мамкам ,папкам  не жаловался.А сейчас идёшь мимо школы,на перемене толпа мелких шмакодявок за углом школы курят и учителям пофиг.",0,28.11.2021 10:23:22,
559,Комментарий к посту/репосту,Группа,"Люди ,вы что? Как буд-то никто ни разу в жизни на работу не опаздывал?",0,28.11.2021 09:59:34,
560,Комментарий к посту/репосту,Группа,"Ой,лучше не буду комментировать,а то опять заблакируют меня.Смешно смотреть на этот цирк.",0,27.11.2021 22:53:21,
561,Комментарий к посту/репосту,Группа,"У нас так же,около магазина бегала кошка,её подкармливали ,но никто не брал к себе.Когда начались морозы,не выдержала,забрала,хотя дома уже было четверо бодбирашек.Муж поворчал для вида,успокоился.Но это было ещё не все.Через три дня около этого магазина выкинули ещё одну кошечку,а мороз _20 ,не смогла пройти мимо,теперь у нас шесть мяуколок.Проблем прибавилось,зато мышей нет ни дома,не в стайке.",0,27.11.2021 22:37:34,
562,Комментарий к посту/репосту,Группа,"Конечно хороша такая дверка,но только не у нас в Сибири.Лучше я кошку выпущю через дверь зимой на улицу,а потом минут через 15 позову домой,если нагуляется примчится сама.Хотя мои выходят через дверь,а потом,когда набегаются,запрыгивает на подоконнике и стучат лапками в окно,запускают через него.",0,27.11.2021 22:12:02,
