,X,pred
525,"а кто это такая?не кажется вам господа,что очень много развелись этого мусора,про который мы даже и не знаем.",0
526,"как у нас в 1 классе было,мы вставали и так же делали,но при этом наша учительница говорила,,мы писали,мы писали,наши пальчики устали,а теперь мы отдохнем и опять писать начнём,,. вот наши захребетники нам и написали законов,хрен разгребемся и без штанов останется.",0
527,"блин не косить,а кормить.надоело каждое слово перепроверять,комп выкидывает свои версии,достал уже",0
528,"глядя на него,так он женоподобный,или как их там называли раньше заднеприводной ,а если нормальной ориентации,то надо косить хорошо,а то на женщине того и глядишь удохнет.",0
529,"с утра надо всем-в туалет,мочевой терпит только до утра,а потом галопом до унитаза.",0
530,"ой,заберите моё чудо,надоело рассаживать и распихивать по знакомым и не знакомым.",0
531,"в первую очередь тещенька,доченька не поддавася,стой на своём,требуй что тебе надо ,свекруха и свекр тебе должны.довыебывалась,дочь развала,ребёнок остался без отца,алименты плотит,и сама сука сдохла,а семью разбила.",2
532,"не верю,наш сфинкс орет целыми днями.если честно уже устала.как пошол ему четвёртый год ,мы перестали спать.хотя дома есть не кастрированные кошки,он тоже с яйками.но орет постоянно.а сами знаете,поедь в ветклиннику,такое бабло сдерут,снашей пенсией не размахнешся.и спит он очень мало.",0
533,"мадам ,если вы озабоченные,сходите в бар,может найдёте себе развлечение.зачем издиватся над животным.нарисуй себе на лбу седечко,может кто-то клюнет.",0
534,"а ты сементух кукарекай дальше и надейся,что выживешь.",0
535,"евгений сементух,кто дал тебе право обсирать людей которые не хотят прививатся? может ты милок сдохнешь вперёд нас необколотых.лично я переболела дома в самую первую волну,врачам было на меня насрать,нет температуры,сиди дома и сдыхай.не сдохла,выжила.от гриппа никогда в жизни не прививалась и жива ,здорова,спасибо травма.и дождусь когда эти кур коды будуть давать тем ,у кого много антител",0
536,"все заснимите и нашим чинушам отправьте,той же голиковой,в роспотребнадзор,пусть по смотрят.а то у них все зашибись.а ещё бы лучше этих дамочек протащить по всем нашем больницам,пусть по смотрят,что там творится.",0
537,"оксана ,пробовала гонять утром от себя,но эта лысое чудовище подползает к тебе на брюхе и рука не подымается его наказать.а кот хороший,ласковый,сроду не подумала,что могу полюбить сфинкса,но он подкидыш,как и все другие.у нас всю жизнь живут одни подбирашки.ой нет вру,у соседки брали чёрного котёнка,прожил с нами 11 лет,потом ушол ,искали не нашли,значит ушол на радугу.",0
538,"светлана,как вы правы.нашим плевать,что у них есть и вода и сухой корм,а вот мягкий вынь и положь тогда,когда нам захочется.а им хочется в пятом часу утра.особенно борзеет оскар -сфикс,знает,что он любимец и пока не встану и не покормлю,будет по мне топтатся.",0
539,"извините,пусть покушают .",0
540,"зачем под суд.выпустили всех этих бедных собак в вольер и этого урода к ним,пусть собачки повышают.",0
541,а язычок какой!,0
542,"славик,мы бабы хоть и после климакса,можем хоть куда,а вот на тебя милок хотелось бы посмотреть  когда тебе исполнится лет так60 . будет одно из двух,или у тебя будет на пол шестого,или виагру будешь горстями кушать.",0
543,"пусть теперь за свои слова ответит.а её конченную передачу не смотрю,противно.",0
544,"представляю,что с ним будет,когда она к нему поднимется.",0
545,"как достала эта гомосятина.мы нормальные не бегаем и не орем,что живёт женщина с мужчиной,а этих не нормальных везде суют.",1
546,"сравнили инсульт с ковидом,как хрен с пальцем.господи умер певец,пел хорошие песни,а тут опять пропаганда этого ковида,как уже задолбали.если человек умер-однозначно ковид,больше других болезней нет.светлая память и земля пухом ему.",0
547,пусть на месте этого бедного барсука окажутся его родные для какого нибудь извращенца.,0
548,"ну как так можно?уже бабка дважды,но помню как только сына родила и он крикнул ,все,в душе что-то перевернулась.убила бы ,если моему ребёнку грозила бы опасность.а эти так легко бросают своих кровинок.это наверно не женщины,не матери,а чудовища без души и сердца.",2
549,"марамойка роспотребнадзора  чеши в магазины просрочку проверять или незаконные свалки.полезла к нашему имунитету,рученки обламаем.всех она привьет,ага сейчас,все напугались и побежали прививатся.пока не введут этот долбаныйткур код на антитела я в больницу ни ногой.хотя и так я уже давно там не была,толку от них нет.",0
550,"елена точно,в другие регионы распихали,ради пиара.",0
551,"гребаный хозяин.ради своего пиара сволочь издевается над братьями нашими меньшими.чтоб тебя посадили голой задницей во что нибудь такое,где бы тебе хреново было.",0
552,"нет страшнее зверя чем человек.дай бог этим тварям на своей шкуре испытать потерю близких.что б потом сволочи жили с болью в душе.хотя я не уверина,есть ли душа у этих уродов,убить детенышей-это надо быть недочеловеком.",0
553,молодцы! здоровья вам на долгие года!,0
554,"кысочка -красотулька! а наши сами себя развлекают,когда начинают впятером носится,сиди в кресле и не отсвечивай,а то снесут.",0
555,"а что так мелко? вакцинировать беременных.вы сразу напрямую,через живот,в не рожденный плод.",0
556,"когда училась в школе,у нас был учитель по труду николай иваныч.старшеклассников из туалета за курение на пинках выгоняли и никто мамкам ,папкам  не жаловался.а сейчас идёшь мимо школы,на перемене толпа мелких шмакодявок за углом школы курят и учителям пофиг.",0
557,"люди ,вы что? как буд-то никто ни разу в жизни на работу не опаздывал?",0
558,"ой,лучше не буду комментировать,а то опять заблакируют меня.смешно смотреть на этот цирк.",0
559,"у нас так же,около магазина бегала кошка,её подкармливали ,но никто не брал к себе.когда начались морозы,не выдержала,забрала,хотя дома уже было четверо бодбирашек.муж поворчал для вида,успокоился.но это было ещё не все.через три дня около этого магазина выкинули ещё одну кошечку,а мороз _20 ,не смогла пройти мимо,теперь у нас шесть мяуколок.проблем прибавилось,зато мышей нет ни дома,не в стайке.",0
560,"конечно хороша такая дверка,но только не у нас в сибири.лучше я кошку выпущю через дверь зимой на улицу,а потом минут через 15 позову домой,если нагуляется примчится сама.хотя мои выходят через дверь,а потом,когда набегаются,запрыгивает на подоконнике и стучат лапками в окно,запускают через него.",0
561,"вот какя молодчинка! и водитель молодец,остановился,не раздовил.",0
562,"таскаются по за границам ,те у кого есть деньги,а потом когда эти притаскивают новый штам  к нам,мы оказывается виноваты.нам ужесточают условия жизни.закройте к черту все границы и лечите все страны своих и не пускайте чужих к себе.а так толку не будет.",0
563,"усомнились? да хрен с вами.слава богу дожила до пенсии,посижу дома,подожду,когда ваши сомнения закончатся,а прививатся один чёрт не буду. иммунитет хороший,грипп не берет,спасаюсь травами не один год.",0
564,"было бы смешно,если не было так грустно.полный пипец.",0
565,"обожаю лысиков,нашему уже четвёртый год,вреднючка ужасная,но и любимая.плюс ещетри кошки подбирашки и кот.",0
566,"какое нафиг мяу с разговором с людьми.наш сфинкс налопается мягкого корма,уходит в другие комнаты и начинает орарь и ничто его не успокаивает.не знаю,что с ним делать.может среди ночи дурниной орарь,хотя дома ещё две кошки.что ему надо не могу понять.",0
567,"если хотите всех привить,тогда всех,служителей церкви,депутатов,а то они все над нами посмеиваются,а для них прививка необязательная.это как?",5
568,"да ну нафиг эту зиму,в стайке теплей.",2
569,и пусть делает.,0
570,"было бы смешно,если небыло так грустно.",1
571,"как же ему тяжело,бедный.",0
572,"скоро будем завидывать этой кошке,она с мясом будет.а у нас цены так прут вверх,что и кошке завидывать  будем скоро.",0
573,"не осталось в людях души,одна нажива.на людей плюют,а тут животинка.жалко лосика.",0
574,"ну так и новый год отменить,что так мелко,второго на работу.а жирик столько лет глава своей партии,а прославился только говорильней.как говорят-языком молоть,не мешки воровать.",0
575,а,0
576,толи ещё будет.,0
577,"мордаха у кашалота выглядит до вольной,наверно сытый.",0
578,"если бы это была моя ель,я бы её сожгла потом на площади.совсем уже офанарели,скоро по домам полезут .частная территория,вы вообще не имеете права по закону что-то там делать.",0
579,"это где же такие горе врачи учились и кто им дипломы давал? хотя чему удивляться,у меня в молодости  вместо пневмонии ставили диагноз -гастрит.вот так нас лечат.теперь в больницу ни ногой,лучше дома сдохнуть ,чем от таких коновалов.",0
580,"нет слов,дожили блин.",1
581,надо было ещё и в репу дать.совсем обнаглели свиньи.,0
582,"а у меня кнопочный,даже камеры нет.я в этих телефонах нефига не понимаю и зачем мне навароченый.а свободу передвижения что,в конституции уже отменили?",0
583,"а что эта курица все про всех знает?а хотелось бы спросить ,сама переболела,или тупо пропиарилась?",0
584,"а у меня такая красота не хочет расти .зато ирисы,флоксы,пионы ,розы,мускарики,тюльпаны,нарцисс,даже миндаль обалденно весной цветет и спирея тоже.",0
585,южную сторону не имеют права закрывать.обратитесь в со отсутствующие органы и соседей заставят убрать такой забор.,0
586,"у нас почти не осталось нормальных милиционеров,именно милиционеров ,стали одни полицаи,которые только и могут вчетвером насильно затащить14 лет девочку в машину,за то ,что она перешла дорогу в неположенном месте,дедушку скрутить у школы за то,что он пришол встретить внука без маски и в магазинах вылавливают ,,преступников,, без масок.вот с таким контингентом они успешно воюют,а где нужно  их не дождался.нет им не веры,не уважения.",0
587,"жалко то как,прекрасная актриса!светлая память и царствие ей небесное.",0
588,"да в гробу я хотела бы увидеть её и эти прививки.в первую волну заболела,так по телефону когда хотела вызвать скорую мне сказали,нет температуры,лечитесь дома,а то что задыхалась им было пофиг.не собираюсь колоть себе это не пойми что.и действительно странно как-то,чем больше привитых,тем больше смертей.зато дума похихикивает и прививатся не собирается.хотя там старперов дохрена,им уже дома сидеть надо,но они никак от кормушки оторваться не могут,когда уже нахапаются ,твари ненасытные.",0
589,самое главное слово -налогоплательщик.,0
590,"очень красиво,спасибо за мк!",0
591,"здорово,красиво! но лично я плюнула на все это.никто не хочет покупать ни цветы,ни деревья.так же и с вязанием крючком и спицами.полное разочарование.",0
592,какой хорошенький,0
593,"зашибись! с этой оптимизацией угробили медицину,а теперь ещё последних врачей выгнать хотят.да когда уже к власти прийдут адекватные люди,а не эти недочеловеки?",0
594,"да и чёрт с ней. жили в своё время за счёт ссср,пусть теперь живут без нас.плевать на нее.и всех бандеровцев.",0
595,"нормально так,свой народ чмырят,а границы открыты.и тащите к нам ещё гадости побольше.я бы этих отпускников,кто приехал из за бугра,держала бы на карантина после прилета в россию.почему мы ,кто не может куда-то выехать ,должны страдать от этих.",0
596,"поставьте козлы напротив этого храма и отхерачте розгами этих ушлепков.через голову не доходит,пусть через задницу дойдёт,когда сесть на неё не сможешь.сколько у нас недоделанных,кошмар.",0
597,"что бы было похоже как на фото,додумывала сама как связать,все что сдесь написано ,полная фигня.связала совсем по другому.",0
598,"поменьше захребетников держите на шее у россии,глядишь и своему народу будет хватать.",0
599,"может в меня сейчас полетят говнянные коменты ,но это не мать-это няня.под сердцем не носила,манду не рвала при родах. как её ещё можно назвать? а яйцеклетку каждая может дать.",0
600,"ой блин затяжная зима у них.все за бугор готовы продать,а свой народ пусть пустые щи лаптем хлебает.мне лично пофиг,свой дом ,огород.на зиму заготовок наделала с лихвой,а вот городских жалко.",0
601,"а почему,чем больше принудительно заставляют прививатся,тем больше заболевших ?",0
602,"извините,хотела написать -напугали .",2
603,"да чихать на эти тц,пойду в маленький частный магазин,а ваша торговля загнется,вот нарушали.",0
604,"как всегда-сначало делают,потом думают.господи,какие дебилы .",2
605,бегу и тапочки теряю.,2
606,"где бы ты была,если бы в своё время путин за твоего папшку не заступился? а сейчас тварина тявкаешь на россию,сучка конченная.и ребёнка жаль твоего,что у него такая мать.отпустила себя уже ниже плинтуса.",0
607,"как они уже достали.сколько про них можно? покажите хотя бы раз человека,рабочего ,который делает больше своим трудом ,чем эти пустышки.",0
608,"господи,как вы уже задолбали со своими животами.выуже задолбали со своими отношениями.счастье требует тишины.получила сперму в матку,радуйся,что этот старый козёл ещё что-то может.вынашивай,рожай,нам-то это зачем.а этого хама один раз посмотрела и пожелела ,что не была там,вылетел бы типа повар со своей мусорной бороденкой,в которой бактерий больше чем во всем зале быстро и далеко .полный хам.",0
609,"белый похож на нашего сему.швырнули через забор его в трехнедельном возрасте,залетел в куст черноплодки.уши и мордочка такие же,а вот какой хвост.у нашего был в рыжих кольцах.все хотела узнать породистый или просто наша любимка,не успела.когда ему было 8 мес. ,какая-то тварь своровала,выпускала на улицу вместе с другими кошками,не вернулся.живём в своём доме,на отшибе посёлка.",0
610,"ну наши конечно так не живут,но коты и кошки шлындрают мимо собак совершенно спокойно,могут покушать у собак,но и чужих котов собаки не трогают.",2
611,"дамы и госпада-землин и только он.лет 20 не знаю проблем с проволочником.как употреблять написано на пачке.и излишки картофеля покупают уже постоянные покупатели.клубни без червоточинок.купите,не пожалеете,расход небольшой порошка.",0
612,"а вопрос,обезьянке это нужно?прикольного сдесь я ничего не вижу.",0
613,"о ,этот приблядник ещё показывают?конченный проект.все блядюшки там.",0
614,этот дурдом ещё работает? что не праститутка или .проститут-то из дома-2.уберите это уже с экранов.,0
615,"а где вы всевышнего нашли? богатые богатеют,а нищие скоро все умрут.и где всевышний? с богатенькими? в церковь перестала ходить,противно слушать треп попов.деля уговаривают слушаться всех заповедей,а сами суки на таких иномарках катаются,которые нам не покарману,часы дома и т.д и т.п.оставил нас нищих бог,не нужны мы даже и ему.",0
616,"ой блин супер-пупер актриса.не спешите кое-что,она и так смешная.",2
617,"фарфоровая попалась и сдриснула подальше.а вы народ ещё смотрите это дерьмо?одна показуха.кто платит,тот и заказывает бал.а моя любимая передача-это зоо,а для смеха могу посмотреть соловьева-поет блин класно.",0
618,"да вы начислите пенсию,два месяца жду.если бы муж не работал,впору с голоду вдохнуть.только завтраками кормят суки.",0
619,"чья-то протеже,вот и все.простым полицейским пахать и пахать до заслуженной награды ,а эта раз и в дамках .ну ясно же,что сдесь что-то нечисто.",0
620,заработались бедные.,2
621,"что хотели,то и получили.дали таким ушлепкам права,а обязанности не объяснили.вот они теперь и изгаляются,кто как умеет.а вот дома отец после такого отхреначил ремнем,глядишь и голова начала работать.ну они же дети,их трогать нельзя.",0
622,а с девочкой не будут беседу проводить? значит довела пацана.может в ней основная проблемма?,0
623,"попу язык выдрать ,а этой самке кое-что ,кое -куда вставить,что б не плодилась как мышь и по головенке настучать ,что бы мозг начал работать.",0
624,"ну да,у себя на родине этих чурок держат в ежовых рукавицах,а вырвались в россию и начинают борзеть.своих ублюдков хватает,так нефиг ещё и этих прививать,пусть живут у себя.а то действительно,чаша людского терпения закончится и вышвырнут таких обратно.честно ,достали уже эти абреки,совсем страх потеряли,пора их ставить на место.выпендривайся у себя дома.",0
625,"а тут два месяца никак пенсию не начислят.муж на месяц позже сдал документы и все сделали,а меня все завтраками кормят.как хочешь,так и выживай.",2
626,"а потом вякают,,яжемать,,такую хорошим жиденьким прутом отхерачить по заднице ,что бы визжала и крутилась ,как уж на сковороде.",0
627,"а толку-то.всю нашу жизнь у нас живут только подбирашки,собаки ,кошки,один раз вырастили ворону,учили летать.как приходит зима,многие люди выпускают своих собак на улицу.и попробуй найди хозяина.чипировать никто не будет животных.у нас все сразу сделают платно .в ветклиннику страшно ехать,услуги и лекарства дороже чем для людей.наживаются на всем.закон хороший,только невыполнимым,наши чинуши все спустят в унитаз.",0
628,"вообще-то люлей надо в первую очередь бабке дать.если старая сука задала деньги на оплату животин в стаде,то по закону должна пасти свою скотину подальше от жилья.была у нас такая тварь с козами,они объедали все ,деревья ,кустарники около домов,пока в полицию не обратились,сразу нашла место для выпаса.хотя у нас его море,живём на отшибе посёлка.а мужик молодец,тронули мою бы внучку,глотку перегрызла бы.а прокурору желаю испытать все на своей шкуре и шкурках своих родных и пусть он запросит потом для себя обалденный срок,если конечно хватит смелости защитить своих родных.",0
629,"о,тогда я всю жизнь при смерти.редко когда поднимается до 36 ,асамая низкая 34  и ничего не дохну.",0
630,"да никак,пусть дохнет,если в голове пусто.",0
631,а если он призовет всех удавится?что дружно победим вешатся?,0
632,"как-то странно,чем больше вакцинируют,тем больше заболевших.и при этом чирикают,что болеют только невакцинированные .а теперь и до детей добрались. начните с себя и своих родных,а мы посмотрим на вас,или ,,кишка тонка,,?",0
633,"сирии помагаем,афган америкосы угробили,россия вперед-опять гумпомощь.а мы простые людишки платим за все за это.толи ещё будет.",0
634,"а что он так озаботился этим вопросом? что чурбанье ,они же масульмане стали больше преступать закон? за своих беспокоится?",0
635,"отправьте его уже на пенсию,старого идиота.дурка его уже давно ждёт.господи,такое нести-это что-то.действительно больной на голову.",0
636,"да пошол он нахрен,типа этот врач.в первую волну этой дряни сама себя вылечила травами и мой сын и муж от меня не заразились и до сих пор живём и здравствует.и в гробу я видела эту вакцину,которая уничтожает иммунитет.",0
637,пусть мартышка перед своей смертью повышен юрика нося.,0
638,"у нас за всю нашу жизнь были только две собаки-одну колли купили,а другого муж подарил щенком на мой день рожденья.а все остальные подбирашки.предпоследний васек,забрала от почты из коробки,возраст был около месяца,сейчас ему идёт пятый год.а весту муж забрал около ручья за два часа от города
.какая то сволочь вывезла двух месячных щенков и бросила там.хорошо,что наши мужчины там работали на дороге и поехали за водой и малышей забрали?так  и хочется пожелать таким тварям в человеческом обличеии,что бы им все вернулось в двойном размере.",0
639,"с первой волной этой гадости переболела дома,врачам не дозвонишся,температуры нет,ни вкуса ,ни запаха недели две не ощущала ,задыхалась по полной.может травы спасли ,или хороший имуннитет,но сейчас все хорошо и никакой прививки ставить не собираюсь",0
640,"обожаю лысиков,но иногда наш 3 хлетний бандюган доводит до белого колония.ещё дома три кошки икот шерстистые,а он пытается все пометить,типа только он здесь хозяин.а эта фотомоделька бесподобна!",0
641,"ну что ,наш правитель,никакие бабки от тебя не помагают? детей как бросали,так и бросают.спасибо за нашу ,,хорошую,, жизнь по вашим меркам.",2
642,"зато когда дебошир завелся в многоэтажек и соседям житья нет,или кого-то на улице бьют,ментозавров не дождался,а тут герои.все кончилось к этим ушлепкам доверие,нет у нас милиции,одни полицаи,ещё и тупые неучи.",0
643,"уу нас всю жизнь живут подбирашки..на данный момент пять мяуколок и два сбакена.последнюю весту привёз щенком,какие-то твари выкинули у ручья,в двух часах от города.хорошо,что они там дорогу строили,поехали по воду и нашли двух щенков,второго другой водила забрал.не зря нас господь наказывает всякими катаклизмами,мы людишки стали моральными уродами,так нам и надо и природа сделает своё дело.",0
644,"люди живущие там,откройте на эту самку охоту.тварина ты конченная,желаю тебе здохнуть,говна ты кусок.",0
645,"если идёт такая фигня,ставьте камеры в каждом классе и в коридорах.очень много стало малых ушлепков ,которым на все насрать.а вот когда под камерой будут,надеюсь у них голова включиться,что за это будут отвечать родители.был у нас трудовик в мои школьные годы,все его уважали.хотя подзатыльники раздавал пацанам налево и направо,за то ,что носились по коридорам,а за курение в туалете,старшеклассники вылетали с красными ушами и чёрт возми,никто не жаловался предкам.а нынешние маминки сыночки и дочки совсем оборзели,дрын хороший по ним плачет.",0
646,"сейчас наш правитель  начнёт гуманитарку этим отправлять,а нам в очередной раз цены поднимут.",0
647,"сотрясение у неё? будем надеяться,что после этого её ,,кукушка,, нормально заработает.хотя вряд ли,таких как она ничто не изменит.",0
648,"а мне вот интересно,нравится вся эта шелуха самой девочке? выставляют её фото везде.да ,она её дочь,но её саму спросили,нужно ей такое?",2
649,скоро детки подрастут и все вышестоящие посты займут и будет монархия.,0
650,"блин этим депрессивным 18 соток огорода и одну зарплату на двоих,т.к. другую сократили,а по возрасту никуда не берут и путятишня припоял 1.5 ещё пахать,мы же в старости все здоровые.вот и посмотрела бы на их депрессию.зажрались ребята и ноют .а мне лично малинин никогда не нравился.",0
651,"ксения,хотя бы элементарно,нужно остаётся на месте аварии и дать показания.но нет эта самка села в другую машину и укатила.или вы поклонница этой лошади.гдебы она была,если бы  за её папашу  не заступились власть держащие? в дерьма где-нибудь в колхозе ковырялась,где ей и место.",0
652,"носили,гордились,а потом комсомол все перечнул-давай взносы и все,а то ,что мы ещё не зарабатывали и деньги плотили родители ,нафиг не кому небыло интересно.так что комуняки пошли нафиг.",0
653,скорейшего выздоровления собакену!!! а людишки бы убежали .,2
654,а разве эту самку волнует человеческая жизнь?,0
655,это не дастионка-это чуркистан.видели как чел из ариков работал отбойным молотком? наши дети смеялись над ним .приперлись с гор и пытаются что-то строить.,0
656,имидж ничто-деньги все.вот и вся бузиха.,0
657,"запинать этих уродов до смерти,что бы на своей некчемной шкуре все испытали.",0
658,"господи,все коменты конченные.вас бы вышвырнуть на улицу.и  посмотреть как бы вы себе жрачку добывали? спасибо людям,кто это животное забрал.и в мой адрес прошу говно не кидать,всю мою жизнь у нас живут подбирашки до своей смерти.на данный момент пять мяуколок и два собакена.",0
659,"у меня в детстве бабушка своими семками торговала,идёшь из школы,она тебе в фартук полный кармам семечек насыпит.сама уже старая,а бабушку добрым словом вспоминаю и не только ,за всеми могилами ухаживаем,кого уже с нами нет.",0
660,"сыграла стерву в кино ,,салтышиха ,,.а понравилась в сериале ,,некст,,.хорошая актриса!",0
661,"я тут ровненько стою у крылечка на краю,жду когда же ты зкончешь совещание свою.",0
662,"у нас четверо подбирашек,забрали у внучки лысика-сфинкса  пятого,что бы мамашен сожитель его не угробил.прибился ещё кот одноглазый,живёт уже второй год в сеновале. в руки не даётся,оставляем корм и молоко.слава богу живой.одно хорошо-нет мышей,всех вылавливают.",0
663,"когда уже будет цензура? нахрена нам смотреть этот приблядник? так хочется всю эту шоблу отправить валить лес.и посмотреть,как бы они потом запели? куда смотрит наше правительство? в какую дырку? или они сами такие,если все это дозваляют?",0
664,"помните фильм,,секретный форватер,, ,там гузееха своего мужа всегда называла шубин ,блин и я не помню как звали по имени этого шубина.вот вам и все,что можно знать об этой женщине.а какую программу эти две дамы ведут,я не смотрю,есть лучше.",0
665,"хоть в косметики,хоть без неё,один хрен фарфоровая.перекроила себя по полной.",0
666,"зачем выкидывать этого ушлепка? зашить задницу и хрен на узел завязать,пусть эту тварь его же дерьмо изнутри разорвет.",0
667,"поставили видеокамеры,выцепили этих ушлепков ,отодрали  эти задницы по полной и раз рисовали эти задницы,пусть потом перед зеркалом отзываются.шутка конечно,но морды уже бить надо начинать.",0
668,"один пишет не ест,другой то же самое.господа,мы все его едим ,сахар пихают во все продукты,консервы ,даже хлеб.",0
669,"отхерачить этого ушлепка розгами по заднице и по рукам,что бы потом не повадно было.а не дай бог ребёнок бы пострадал,прибыла бы гаденыша за это.плохая шутка.",0
670,"глеб какие права у этих бедных животных? за свою жизнь только две собаки себе купили-колли.а так все бодбирашки и кошки и собакены.на данный момент  две собаки ,три кошки и два кота,плюс прибился одноглазый кот,живёт уже второй год.к себе не подпускает,но кушать приходит,ночует на сеновале,благо сена там много,держим кроликов.и разве эти животинки хотели быть выброшенными?",0
671,"они блин рейсы возобновляют,а нас по домам распихивают из-за этого долбаного ковида.полный дебилизм.",0
672,"зря его полицейский сразу не грохнул,теперь такие деньги на эту тварь тратить надо.",0
673,"все уже отклонили.по зомбоящику сказали в новостях.так что ,не надейтесь,будем пахать до гробовой доски.",0
674,сколько же им нужно насекомых и червячков?,0
675,"сергей точно так же и у нас было,утром устали их собирать и выдворять на улицу.ничего удивительного,так каждую осень происходит. а те люди ,кто этому удивляются,в школе наверно плохо биологию и зоологию учили.",0
